Symbol,Date,Metric,Value
AAPL,2014-10-16,High,97.720001
AAPL,2014-10-17,High,99.0
AAPL,2014-10-20,High,99.959999
AAPL,2014-10-21,High,103.019997
AAPL,2014-10-22,High,104.110001
AAPL,2014-10-23,High,105.050003
AAPL,2014-10-24,High,105.489998
AAPL,2014-10-27,High,105.480003
AAPL,2014-10-28,High,106.739998
AAPL,2014-10-29,High,107.370003
AAPL,2014-10-30,High,107.349998
AAPL,2014-10-31,High,108.040001
AAPL,2014-11-03,High,110.300003
AAPL,2014-11-04,High,109.489998
AAPL,2014-11-05,High,109.300003
AAPL,2014-11-06,High,108.790001
AAPL,2014-11-07,High,109.32
AAPL,2014-11-10,High,109.330002
AAPL,2014-11-11,High,109.75
AAPL,2014-11-12,High,111.43
AAPL,2014-11-13,High,113.449997
AAPL,2014-11-14,High,114.190002
AAPL,2014-11-17,High,117.279999
AAPL,2014-11-18,High,115.690002
AAPL,2014-11-19,High,115.739998
AAPL,2014-11-20,High,116.860001
AAPL,2014-11-21,High,117.57
AAPL,2014-11-24,High,118.769997
AAPL,2014-11-25,High,119.75
AAPL,2014-11-26,High,119.099998
AAPL,2014-11-28,High,119.400002
AAPL,2014-12-01,High,119.25
AAPL,2014-12-02,High,115.75
AAPL,2014-12-03,High,116.349998
AAPL,2014-12-04,High,117.199997
AAPL,2014-12-05,High,116.080002
AAPL,2014-12-08,High,114.650002
AAPL,2014-12-09,High,114.300003
AAPL,2014-12-10,High,114.849998
AAPL,2014-12-11,High,113.800003
AAPL,2014-12-12,High,111.870003
AAPL,2014-12-15,High,111.599998
AAPL,2014-12-16,High,110.160004
AAPL,2014-12-17,High,109.839996
AAPL,2014-12-18,High,112.650002
AAPL,2014-12-19,High,113.239998
AAPL,2014-12-22,High,113.489998
AAPL,2014-12-23,High,113.330002
AAPL,2014-12-24,High,112.709999
AAPL,2014-12-26,High,114.519997
AAPL,2014-12-29,High,114.769997
AAPL,2014-12-30,High,113.919998
AAPL,2014-12-31,High,113.129997
AAPL,2015-01-02,High,111.440002
AAPL,2015-01-05,High,108.650002
AAPL,2015-01-06,High,107.43
AAPL,2015-01-07,High,108.199997
AAPL,2015-01-08,High,112.150002
AAPL,2015-01-09,High,113.25
AAPL,2015-01-12,High,112.629997
AAPL,2015-01-13,High,112.800003
AAPL,2015-01-14,High,110.489998
AAPL,2015-01-15,High,110.059998
AAPL,2015-01-16,High,107.580002
AAPL,2015-01-20,High,108.970001
AAPL,2015-01-21,High,111.059998
AAPL,2015-01-22,High,112.470001
AAPL,2015-01-23,High,113.75
AAPL,2015-01-26,High,114.360001
AAPL,2015-01-27,High,112.480003
AAPL,2015-01-28,High,118.120003
AAPL,2015-01-29,High,119.190002
AAPL,2015-01-30,High,120.0
AAPL,2015-02-02,High,119.169998
AAPL,2015-02-03,High,119.089996
AAPL,2015-02-04,High,120.510002
AAPL,2015-02-05,High,120.230003
AAPL,2015-02-06,High,120.25
AAPL,2015-02-09,High,119.839996
AAPL,2015-02-10,High,122.150002
AAPL,2015-02-11,High,124.919998
AAPL,2015-02-12,High,127.480003
AAPL,2015-02-13,High,127.279999
AAPL,2015-02-17,High,128.880005
AAPL,2015-02-18,High,128.779999
AAPL,2015-02-19,High,129.029999
AAPL,2015-02-20,High,129.5
AAPL,2015-02-23,High,133.0
AAPL,2015-02-24,High,133.600006
AAPL,2015-02-25,High,131.600006
AAPL,2015-02-26,High,130.869995
AAPL,2015-02-27,High,130.570007
AAPL,2015-03-02,High,130.279999
AAPL,2015-03-03,High,129.520004
AAPL,2015-03-04,High,129.559998
AAPL,2015-03-05,High,128.75
AAPL,2015-03-06,High,129.369995
AAPL,2015-03-09,High,129.570007
AAPL,2015-03-10,High,127.220001
AAPL,2015-03-11,High,124.769997
AAPL,2015-03-12,High,124.900002
AAPL,2015-03-13,High,125.400002
AAPL,2015-03-16,High,124.949997
AAPL,2015-03-17,High,127.32
AAPL,2015-03-18,High,129.160004
AAPL,2015-03-19,High,129.25
AAPL,2015-03-20,High,128.399994
AAPL,2015-03-23,High,127.849998
AAPL,2015-03-24,High,128.039993
AAPL,2015-03-25,High,126.82
AAPL,2015-03-26,High,124.879997
AAPL,2015-03-27,High,124.699997
AAPL,2015-03-30,High,126.400002
AAPL,2015-03-31,High,126.489998
AAPL,2015-04-01,High,125.120003
AAPL,2015-04-02,High,125.559998
