Date,AAPL,AMZN,GOOG,IBM
2014-05-16,84.089996,292.799988,518.538818,186.270004
2014-05-19,85.407143,295.76001,516.858032,186.610001
2014-05-20,86.358574,297.100006,526.84314,186.25
2014-05-21,86.261429,302.209991,529.98584,185.850006
2014-05-22,86.657143,305.049988,538.170837,186.449997
2014-05-23,86.75,305.459991,544.267334,185.839996
2014-05-27,87.982857,314.410004,552.959534,184.800003
2014-05-28,89.431427,309.5,561.482666,184.479996
2014-05-29,89.692856,310.420013,560.269348,183.639999
2014-05-30,91.139999,314.429993,557.733276,183.380005
2014-06-02,90.565712,312.589996,557.63385,184.759995
2014-06-03,89.779999,305.75,547.976929,185.550003
2014-06-04,91.062859,306.850006,538.538818,184.710007
2014-06-05,92.314285,308.100006,543.412048,184.660004
2014-06-06,92.842857,325.0,555.00824,186.470001
2014-06-09,92.699997,331.570007,554.103271,186.220001
2014-06-10,94.730003,327.649994,557.444885,186.199997
2014-06-11,94.129997,336.0,554.948608,183.610001
2014-06-12,94.040001,335.549988,554.252441,182.479996
2014-06-13,92.199997,327.049988,549.23999,182.0
2014-06-16,91.510002,324.859985,546.256409,182.399994
2014-06-17,92.309998,327.540009,541.22406,181.899994
2014-06-18,92.269997,328.0,541.880432,182.039993
2014-06-19,92.290001,335.26001,551.209167,184.119995
2014-06-20,91.849998,327.76001,553.804871,182.589996
2014-06-23,91.32,323.329987,552.114197,181.919998
2014-06-24,90.75,327.540009,562.099304,181.5
2014-06-25,90.209999,324.329987,562.168884,180.25
2014-06-26,90.370003,328.48999,577.822815,180.869995
2014-06-27,90.82,325.880005,574.023682,179.770004
2014-06-30,92.099998,324.980011,575.495605,181.330002
2014-07-01,93.519997,325.859985,575.157471,181.699997
2014-07-02,93.870003,333.200012,580.159973,186.339996
2014-07-03,93.669998,334.829987,580.159973,188.389999
2014-07-07,94.139999,337.5,580.567749,187.610001
2014-07-08,96.269997,333.100006,574.501099,187.649994
2014-07-09,95.440002,324.709991,568.454346,187.679993
2014-07-10,93.760002,324.339996,562.815369,186.440002
2014-07-11,95.360001,334.709991,568.782532,187.729996
2014-07-14,95.860001,347.029999,579.414063,188.550003
2014-07-15,96.800003,353.720001,582.536926,189.539993
2014-07-16,96.970001,355.619995,584.784546,192.240005
2014-07-17,95.029999,353.440002,576.36084,192.360001
2014-07-18,93.620003,354.399994,589.757202,191.960007
2014-07-21,94.989998,358.100006,588.514038,191.300003
2014-07-22,94.68,355.25,587.489685,191.589996
2014-07-23,95.419998,359.049988,589.985962,194.110001
2014-07-24,97.040001,359.980011,593.188354,193.949997
2014-07-25,96.849998,317.299988,587.171387,195.300003
2014-07-28,97.82,324.25,584.854187,194.300003
2014-07-29,99.330002,321.980011,585.530457,195.300003
2014-07-30,98.440002,321.450012,583.342468,195.199997
2014-07-31,97.160004,320.01001,577.424988,192.839996
2014-08-01,94.900002,313.690002,567.280762,190.5
2014-08-04,96.370003,308.839996,565.928223,189.350006
2014-08-05,95.360001,313.299988,566.932678,188.75
2014-08-06,94.75,310.829987,558.707947,185.360001
2014-08-07,94.93,315.209991,564.893921,186.639999
2014-08-08,94.260002,311.940002,560.47821,184.399994
2014-08-11,95.269997,318.480011,566.873047,187.809998
2014-08-12,96.040001,318.890015,561.432922,187.449997
2014-08-13,96.150002,327.600006,564.207703,188.0
2014-08-14,97.330002,327.799988,573.029175,187.570007
2014-08-15,97.900002,334.0,574.700012,187.850006
2014-08-18,98.489998,335.480011,572.959534,188.100006
2014-08-19,99.410004,334.869995,581.800964,190.039993
2014-08-20,100.440002,334.679993,582.676147,189.860001
2014-08-21,100.57,336.480011,580.62738,190.899994
2014-08-22,100.290001,332.98999,580.398682,190.770004
2014-08-25,101.790001,333.209991,581.522461,191.389999
2014-08-26,101.419998,337.0,578.081421,191.020004
2014-08-27,101.019997,342.089996,574.11322,193.029999
2014-08-28,101.589996,340.0,566.445374,191.470001
2014-08-29,102.860001,341.76001,568.205688,192.279999
2014-09-02,103.059998,339.980011,568.722839,192.679993
2014-09-03,103.099998,342.540009,576.828308,192.389999
2014-09-04,98.849998,343.690002,576.828308,191.690002
2014-09-05,98.800003,346.299988,580.786499,190.529999
2014-09-08,99.300003,344.540009,583.392212,190.75
2014-09-09,99.080002,341.609985,585.679626,190.339996
2014-09-10,98.010002,334.299988,578.320068,190.119995
2014-09-11,100.410004,329.940002,577.18634,191.080002
2014-09-12,101.209999,329.559998,577.822815,191.470001
2014-09-15,102.809998,330.910004,569.806885,191.419998
2014-09-16,99.800003,321.070007,569.627869,191.25
2014-09-17,101.269997,327.76001,576.838257,193.220001
2014-09-18,101.93,325.440002,583.790039,192.789993
2014-09-19,102.290001,327.600006,588.265381,194.539993
2014-09-22,101.800003,328.48999,590.572693,193.720001
2014-09-23,100.599998,322.459991,583.640808,192.75
2014-09-24,102.160004,324.170013,578.280273,191.0
2014-09-25,100.510002,327.98999,584.336975,192.050003
2014-09-26,98.529999,320.600006,572.909851,188.929993
2014-09-29,98.650002,320.5,568.623413,188.509995
2014-09-30,100.809998,321.359985,573.775085,189.639999
2014-10-01,100.589996,322.040009,572.860107,189.910004
2014-10-02,99.269997,316.920013,564.207703,187.660004
2014-10-03,99.440002,320.359985,569.916321,188.110001
2014-10-06,99.949997,323.5,575.634827,189.690002
2014-10-07,99.43,319.429993,571.258911,187.770004
2014-10-08,98.760002,316.579987,562.477173,185.970001
2014-10-09,101.540001,321.48999,568.056519,189.119995
2014-10-10,100.690002,314.019989,554.670105,185.860001
2014-10-13,101.330002,309.869995,542.009766,185.490005
2014-10-14,100.389999,308.0,535.953064,184.889999
2014-10-15,97.970001,304.350006,528.106201,182.460007
2014-10-16,95.550003,293.829987,516.161865,179.800003
2014-10-17,97.5,307.149994,524.36676,181.240005
2014-10-20,98.32,302.950012,506.664093,166.850006
2014-10-21,103.019997,309.899994,522.317993,166.399994
2014-10-22,102.839996,315.429993,526.99231,162.410004
2014-10-23,104.080002,313.399994,536.370728,162.119995
2014-10-24,105.18,284.399994,541.383179,162.080002
2014-10-27,104.849998,285.700012,534.093262,162.0
2014-10-28,105.400002,289.76001,540.03064,162.0
2014-10-29,106.650002,299.109985,546.992371,164.330002
2014-10-30,106.959999,293.980011,545.948059,163.5
2014-10-31,108.010002,305.149994,556.291199,165.479996
2014-11-03,108.220001,306.23999,552.46228,164.25
2014-11-04,109.360001,303.98999,549.975952,164.339996
2014-11-05,109.099998,303.01001,553.755127,163.130005
2014-11-06,108.599998,296.690002,542.516968,161.279999
2014-11-07,108.75,297.820007,543.223083,161.419998
2014-11-10,109.019997,300.0,538.499023,161.899994
2014-11-11,108.699997,305.940002,545.490601,163.699997
2014-11-12,109.379997,310.75,547.380188,162.279999
2014-11-13,111.800003,312.0,546.793457,162.0
2014-11-14,113.150002,317.119995,543.690491,162.100006
2014-11-17,114.269997,326.440002,540.607422,164.160004
2014-11-18,113.940002,323.98999,534.560669,164.729996
2014-11-19,115.440002,327.25,532.074341,162.050003
2014-11-20,114.910004,324.0,528.344849,160.949997
2014-11-21,117.510002,335.420013,538.648193,161.830002
2014-11-24,116.849998,334.779999,534.7099,161.539993
2014-11-25,119.07,335.269989,536.05249,162.649994
2014-11-26,117.940002,333.779999,537.922241,161.929993
2014-11-28,119.269997,336.029999,537.663635,162.75
2014-12-01,118.809998,338.119995,535.953064,161.639999
2014-12-02,113.5,327.5,530.592529,162.470001
2014-12-03,115.75,325.730011,528.533813,162.470001
2014-12-04,115.769997,315.529999,528.255371,164.009995
2014-12-05,115.989998,316.799988,528.096252,163.610001
2014-12-08,114.099998,311.570007,524.247375,163.289993
2014-12-09,110.190002,302.98999,519.284668,160.839996
2014-12-10,114.410004,312.0,530.164856,163.009995
2014-12-11,112.260002,307.890015,524.913757,160.820007
